Price Period,TOWNS,Super , Diesel,Kerosene
1st July 2023 -14th July 2023,Ndhiwa,196.59,181.12,174.92
1st July 2023 -14th July 2023,Rangwe,196.28,180.82,174.61
1st July 2023 -14th July 2023,Sindo,196.30,180.83,174.63
1st July 2023 -14th July 2023,Awasi,195.31,179.85,173.64
1st July 2023 -14th July 2023,Ahero,195.34,179.89,173.68
1st July 2023 -14th July 2023,Ugunja,195.81,180.35,174.14
1st July 2023 -14th July 2023,Asembo,195.44,179.97,173.77
1st July 2023 -14th July 2023,Usenge,195.95,180.48,174.28
1st July 2023 -14th July 2023,Harambee,195.39,179.93,173.72
1st July 2023 -14th July 2023,Muhuru Bay,197.29,181.84,175.62
1st July 2023 -14th July 2023,Kehancha,197.55,182.09,175.88
1st July 2023 -14th July 2023,Ntimaru,197.87,182.42,176.2
1st July 2023 -14th July 2023,Rongo,196.56,181.1,174.89
1st July 2023 -14th July 2023,Kaspokwony,196.52,181.05,174.85
1st July 2023 -14th July 2023,Chwele,196.46,181.01,174.79
1st July 2023 -14th July 2023,Kimilili,196.38,180.91,174.71
1st July 2023 -14th July 2023,Nambale,196.28,180.82,174.61
1st July 2023 -14th July 2023,SioPort,196.27,180.81,174.6
1st July 2023 -14th July 2023,Port Bunyala,196.32,180.87,174.65
1st July 2023 -14th July 2023,Funyula,196.13,180.67,174.46
1st July 2023 -14th July 2023,Ogembo,196.46,181.01,174.79
1st July 2023 -14th July 2023,Nyangusu,196.74,181.28,175.07
1st July 2023 -14th July 2023,Sengera,196.65,181.19,174.99
1st July 2023 -14th July 2023,Keumbu,196.36,180.9,174.7
1st July 2023 -14th July 2023,Marani,196.04,180.59,174.37
1st July 2023 -14th July 2023,Kerina,196.43,180.97,174.77
1st July 2023 -14th July 2023,Ikonge,195.74,180.28,174.07
1st July 2023 -14th July 2023,Nyansiongo,196.17,180.72,174.5
