Price Period,Town,Super,Diesel,Kerosene
 15th November 2021 - 14th December 2021,Nakalale,137.01,118.2,111.15
 15th November 2021 - 14th December 2021,Loima,133.42,114.62,107.57
 15th November 2021 - 14th December 2021,Lokiriama,134.99,116.19,109.13
 15th November 2021 - 14th December 2021,Kainuk,132.2,113.39,106.34
 15th November 2021 - 14th December 2021,Kacheliba,131.52,112.72,105.67
 15th November 2021 - 14th December 2021,Kiwawa,132.14,113.32,106.27
 15th November 2021 - 14th December 2021,Ortum,131.72,112.91,105.86
 15th November 2021 - 14th December 2021,Kachibora,130.52,111.7,104.66
 15th November 2021 - 14th December 2021,Kwanza,131.23,112.42,105.38
 15th November 2021 - 14th December 2021,Kaplamai,130.54,111.74,104.68
 15th November 2021 - 14th December 2021,Eldama Ravine,130.96,112.15,105.11
 15th November 2021 - 14th December 2021,Tenges,131.1,112.29,105.25
 15th November 2021 - 14th December 2021,Barwessa,131.21,112.41,105.35
 15th November 2021 - 14th December 2021,Kipsaraman,132.12,113.31,106.26
 15th November 2021 - 14th December 2021,Loruk,131.99,113.18,106.13
 15th November 2021 - 14th December 2021,Kabartonjo,130.96,112.15,105.11
 15th November 2021 - 14th December 2021,Tindiret,131.03,112.21,105.16
 15th November 2021 - 14th December 2021,O'lessos,130.19,111.38,104.34
 15th November 2021 - 14th December 2021,Kobujoi,130.59,111.79,104.74
 15th November 2021 - 14th December 2021,Serem,130.67,111.87,104.81
 15th November 2021 - 14th December 2021,Kabiyet,130.13,111.32,104.27
 15th November 2021 - 14th December 2021,Cheptulu,130.55,111.75,104.7
 15th November 2021 - 14th December 2021,Songor,131.1,112.29,105.25
 15th November 2021 - 14th December 2021,Kapcherop,130.73,111.93,104.88
 15th November 2021 - 14th December 2021,Sambalat,131.42,112.61,105.57
 15th November 2021 - 14th December 2021,Arror,131.07,112.27,105.21
 15th November 2021 - 14th December 2021,Tot,131.27,112.47,105.42
 15th November 2021 - 14th December 2021,Kaptarakwa,130.32,111.51,104.47
 15th November 2021 - 14th December 2021,Kisumu,130.12,111.3,104.26
 15th November 2021 - 14th December 2021,Sondu,130.23,111.4,104.37
 15th November 2021 - 14th December 2021,Oyugis,130.7,111.89,104.85
 15th November 2021 - 14th December 2021,Kakamega,130.17,111.35,104.32
 15th November 2021 - 14th December 2021,Mumias,130.44,111.63,104.59
 15th November 2021 - 14th December 2021,Bondo,130.33,111.51,104.48
 15th November 2021 - 14th December 2021,Siaya,130.45,111.64,104.6
 15th November 2021 - 14th December 2021,Kericho,130.63,111.81,104.77
 15th November 2021 - 14th December 2021,Nyamira,130.69,111.88,104.84
 15th November 2021 - 14th December 2021,Kisii,131.0,112.18,105.15
 15th November 2021 - 14th December 2021,Sotik,130.83,112.02,104.98
 15th November 2021 - 14th December 2021,Keroka,131.01,112.2,105.16
 15th November 2021 - 14th December 2021,Busia,130.99,112.17,105.14
 15th November 2021 - 14th December 2021,Homabay,130.94,112.12,105.08
 15th November 2021 - 14th December 2021,Migori,131.79,112.97,105.94
 15th November 2021 - 14th December 2021,Isebania,132.07,113.26,106.22
 15th November 2021 - 14th December 2021,Bomet,131.23,112.42,105.38
 15th November 2021 - 14th December 2021,Muhoroni,130.36,111.53,104.49
 15th November 2021 - 14th December 2021,Mbita,130.93,112.1,105.07
 15th November 2021 - 14th December 2021,Mbale,130.12,111.3,104.26
 15th November 2021 - 14th December 2021,Etago,131.58,112.75,105.72
 15th November 2021 - 14th December 2021,Magenche,131.67,112.86,105.82
 15th November 2021 - 14th December 2021,Kilgoris,131.51,112.69,105.66
15th November 2022 – 14th December 2022,,174.98,,143.69
15th November 2022 – 14th December 2022,,175.69,,144.41
15th November 2022 – 14th December 2022,,175.34,,144.05
15th November 2022 – 14th December 2022,,175.34,,144.05
15th November 2022 – 14th December 2022,,175.9,,144.61
15th November 2022 – 14th December 2022,,176.05,,144.76
15th November 2022 – 14th December 2022,,176.46,,145.17
15th November 2022 – 14th December 2022,,177.86,,146.58
15th November 2022 – 14th December 2022,,178.27,,147.0
15th November 2022 – 14th December 2022,,178.57,,147.28
15th November 2022 – 14th December 2022,,178.27,,147.0
15th November 2022 – 14th December 2022,,177.25,,145.96
15th November 2022 – 14th December 2022,,177.33,,146.05
15th November 2022 – 14th December 2022,,175.28,,144.0
15th November 2022 – 14th December 2022,,175.46,,144.18
15th November 2022 – 14th December 2022,,176.79,,145.51
15th November 2022 – 14th December 2022,,176.96,,145.68
15th November 2022 – 14th December 2022,,175.13,,143.85
15th November 2022 – 14th December 2022,,176.56,,145.27
15th November 2022 – 14th December 2022,,177.3,,145.94
15th November 2022 – 14th December 2022,,177.31,,145.94
15th November 2022 – 14th December 2022,,177.54,,146.18
15th November 2022 – 14th December 2022,,177.72,,146.36
15th November 2022 – 14th December 2022,,177.59,,146.23
15th November 2022 – 14th December 2022,,177.82,,146.46
15th November 2022 – 14th December 2022,,178.05,,146.68
15th November 2022 – 14th December 2022,,178.4,,147.04
15th November 2022 – 14th December 2022,,178.33,,146.97
15th November 2022 – 14th December 2022,,178.69,,147.33
15th November 2022 – 14th December 2022,,178.67,,147.31
15th November 2022 – 14th December 2022,,178.85,,147.48
15th November 2022 – 14th December 2022,,178.64,,147.28
15th November 2022 – 14th December 2022,,178.93,,147.57
15th November 2022 – 14th December 2022,,178.84,,147.47
15th November 2022 – 14th December 2022,,179.22,,147.86
15th November 2022 – 14th December 2022,,179.23,,147.87
15th November 2022 – 14th December 2022,,180.21,,148.84
15th November 2022 – 14th December 2022,,179.74,,148.38
15th November 2022 – 14th December 2022,,180.4,,149.04
15th November 2022 – 14th December 2022,,180.26,,148.89
15th November 2022 – 14th December 2022,,180.85,,149.49
15th November 2022 – 14th December 2022,,181.47,,150.11
15th November 2022 – 14th December 2022,,185.15,,153.79
15th November 2022 – 14th December 2022,,184.24,,152.87
15th November 2022 – 14th December 2022,,186.74,,155.37
15th November 2022 – 14th December 2022,,185.79,,154.43
15th November 2022 – 14th December 2022,,184.16,,152.8
15th November 2022 – 14th December 2022,,182.85,,151.49
15th November 2022 – 14th December 2022,,186.42,,155.04
15th November 2022 – 14th December 2022,,188.02,,156.65
15th November 2022 – 14th December 2022,,186.57,,155.21
15th November 2022 – 14th December 2022,,184.3,,152.94
15th November 2022 – 14th December 2022,,190.35,,158.98
15th November 2022 – 14th December 2022,,178.2,,146.84
15th November 2022 – 14th December 2022,,182.65,,151.29
15th November 2022 – 14th December 2022,,179.67,,148.29
15th November 2022 – 14th December 2022,,188.34,,156.98
15th November 2022 – 14th December 2022,,185.38,,154.02
15th November 2022 – 14th December 2022,,183.97,,152.6
15th November 2022 – 14th December 2022,,177.42,,146.06
15th November 2022 – 14th December 2022,,180.0,,148.63
15th November 2022 – 14th December 2022,,179.12,,147.75
15th November 2022 – 14th December 2022,,179.98,,148.62
15th November 2022 – 14th December 2022,,179.61,,148.25
15th November 2022 – 14th December 2022,,178.95,,147.58
15th November 2022 – 14th December 2022,,186.11,,154.75
15th November 2022 – 14th December 2022,,184.73,,153.37
15th November 2022 – 14th December 2022,,185.27,,153.91
15th November 2022 – 14th December 2022,,185.34,,153.97
15th November 2022 – 14th December 2022,,185.14,,153.78
15th November 2022 – 14th December 2022,,182.36,,150.98
15th November 2022 – 14th December 2022,,182.05,,150.69
15th November 2022 – 14th December 2022,,183.3,,151.93
15th November 2022 – 14th December 2022,,176.62,,145.79
15th November 2022 – 14th December 2022,,176.58,,145.76
15th November 2022 – 14th December 2022,,176.57,,145.74
15th November 2022 – 14th December 2022,,176.65,,145.83
15th November 2022 – 14th December 2022,,177.36,,146.53
15th November 2022 – 14th December 2022,,176.88,,146.05
15th November 2022 – 14th December 2022,,176.87,,146.04
15th November 2022 – 14th December 2022,,179.85,,149.03
15th November 2022 – 14th December 2022,,180.95,,150.13
15th November 2022 – 14th December 2022,,176.95,,146.11
15th November 2022 – 14th December 2022,,177.34,,146.51
15th November 2022 – 14th December 2022,,177.83,,147.01
15th November 2022 – 14th December 2022,,178.92,,148.1
15th November 2022 – 14th December 2022,,179.76,,148.93
15th November 2022 – 14th December 2022,,177.41,,146.58
15th November 2022 – 14th December 2022,,177.5,,146.67
15th November 2022 – 14th December 2022,,177.5,,146.67
15th November 2022 – 14th December 2022,,177.5,,146.67
15th November 2022 – 14th December 2022,,177.5,,146.67
15th November 2022 – 14th December 2022,,177.5,,146.67
15th November 2022 – 14th December 2022,,177.52,,146.68
15th November 2022 – 14th December 2022,,177.93,,147.1
15th November 2022 – 14th December 2022,,177.86,,147.03
15th November 2022 – 14th December 2022,,178.5,,147.67
15th November 2022 – 14th December 2022,,178.26,,147.44
15th November 2022 – 14th December 2022,,177.52,,146.68
15th November 2022 – 14th December 2022,,177.49,,146.66
15th November 2022 – 14th December 2022,,177.45,,146.62
15th November 2022 – 14th December 2022,,177.54,,146.71
15th November 2022 – 14th December 2022,,178.0,,147.18
15th November 2022 – 14th December 2022,,177.89,,147.06
15th November 2022 – 14th December 2022,,177.81,,146.99
15th November 2022 – 14th December 2022,,177.73,,146.9
15th November 2022 – 14th December 2022,,177.69,,146.87
15th November 2022 – 14th December 2022,,177.55,,146.73
15th November 2022 – 14th December 2022,,178.05,,147.21
15th November 2022 – 14th December 2022,,178.39,,147.57
15th November 2022 – 14th December 2022,,178.07,,147.25
15th November 2022 – 14th December 2022,,178.71,,147.87
15th November 2022 – 14th December 2022,,180.33,,149.49
15th November 2022 – 14th December 2022,,179.12,,148.29
15th November 2022 – 14th December 2022,,179.25,,148.42
15th November 2022 – 14th December 2022,,181.68,,150.85
15th November 2022 – 14th December 2022,,183.27,,152.44
15th November 2022 – 14th December 2022,,180.68,,149.85
15th November 2022 – 14th December 2022,,182.44,,151.61
15th November 2022 – 14th December 2022,,181.05,,150.22
15th November 2022 – 14th December 2022,,185.33,,154.49
15th November 2022 – 14th December 2022,,180.33,,149.49
15th November 2022 – 14th December 2022,,178.66,,147.84
15th November 2022 – 14th December 2022,,184.46,,153.63
15th November 2022 – 14th December 2022,,177.69,,146.87
15th November 2022 – 14th December 2022,,177.51,,146.67
15th November 2022 – 14th December 2022,,177.57,,146.74
15th November 2022 – 14th December 2022,,177.45,,146.62
15th November 2022 – 14th December 2022,,185.56,,154.73
15th November 2022 – 14th December 2022,,184.39,,153.55
15th November 2022 – 14th December 2022,,180.8,,149.97
15th November 2022 – 14th December 2022,,182.37,,151.53
15th November 2022 – 14th December 2022,,179.57,,148.74
15th November 2022 – 14th December 2022,,178.9,,148.07
15th November 2022 – 14th December 2022,,179.5,,148.68
15th November 2022 – 14th December 2022,,179.09,,148.26
15th November 2022 – 14th December 2022,,177.89,,147.06
15th November 2022 – 14th December 2022,,178.6,,147.78
15th November 2022 – 14th December 2022,,177.92,,147.08
15th November 2022 – 14th December 2022,,178.33,,147.51
15th November 2022 – 14th December 2022,,178.47,,147.65
15th November 2022 – 14th December 2022,,178.59,,147.75
15th November 2022 – 14th December 2022,,179.49,,148.66
15th November 2022 – 14th December 2022,,179.36,,148.53
15th November 2022 – 14th December 2022,,178.33,,147.51
15th November 2022 – 14th December 2022,,178.39,,147.57
15th November 2022 – 14th December 2022,,177.57,,146.74
15th November 2022 – 14th December 2022,,177.97,,147.14
15th November 2022 – 14th December 2022,,178.05,,147.21
15th November 2022 – 14th December 2022,,177.51,,146.67
15th November 2022 – 14th December 2022,,177.93,,147.1
15th November 2022 – 14th December 2022,,178.47,,147.65
15th November 2022 – 14th December 2022,,178.11,,147.28
15th November 2022 – 14th December 2022,,178.79,,147.97
15th November 2022 – 14th December 2022,,178.45,,147.61
15th November 2022 – 14th December 2022,,178.65,,147.82
15th November 2022 – 14th December 2022,,177.69,,146.87
15th November 2022 – 14th December 2022,,180.65,,149.82
15th November 2022 – 14th December 2022,,180.03,,149.21
15th November 2022 – 14th December 2022,,179.02,,148.19
15th November 2022 – 14th December 2022,,179.5,,148.68
15th November 2022 – 14th December 2022,,179.17,,148.34
15th November 2022 – 14th December 2022,,178.76,,147.93
15th November 2022 – 14th December 2022,,178.79,,147.97
15th November 2022 – 14th December 2022,,178.74,,147.92
15th November 2022 – 14th December 2022,,178.65,,147.82
15th November 2022 – 14th December 2022,,178.53,,147.71
15th November 2022 – 14th December 2022,,178.49,,147.66
15th November 2022 – 14th December 2022,,178.21,,147.39
15th November 2022 – 14th December 2022,,177.5,,146.66
15th November 2022 – 14th December 2022,,177.59,,146.77
15th November 2022 – 14th December 2022,,178.08,,147.25
15th November 2022 – 14th December 2022,,177.54,,146.72
15th November 2022 – 14th December 2022,,177.82,,146.99
15th November 2022 – 14th December 2022,,177.7,,146.88
15th November 2022 – 14th December 2022,,177.83,,147.0
15th November 2022 – 14th December 2022,,178.0,,147.17
15th November 2022 – 14th December 2022,,178.07,,147.24
15th November 2022 – 14th December 2022,,178.37,,147.55
15th November 2022 – 14th December 2022,,178.21,,147.38
15th November 2022 – 14th December 2022,,178.39,,147.56
15th November 2022 – 14th December 2022,,178.36,,147.54
15th November 2022 – 14th December 2022,,178.31,,147.48
15th November 2022 – 14th December 2022,,179.17,,148.34
15th November 2022 – 14th December 2022,,179.45,,148.62
15th November 2022 – 14th December 2022,,178.61,,147.78
15th November 2022 – 14th December 2022,,177.72,,146.9
15th November 2022 – 14th December 2022,,178.3,,147.47
15th November 2022 – 14th December 2022,,177.5,,146.66
15th November 2022 – 14th December 2022,,178.94,,148.12
15th November 2022 – 14th December 2022,,179.05,,148.22
15th November 2022 – 14th December 2022,,178.88,,148.06
15th November 2022 – 14th December 2022,,177.86,,147.03
15th November 2022 – 14th December 2022,,178.25,,147.42
15th November 2022 – 14th December 2022,,178.37,,147.55
15th November 2022 – 14th December 2022,,178.65,,147.82
15th November 2022 – 14th December 2022,,178.36,,147.54
15th November 2022 – 14th December 2022,,178.37,,147.55
15th November 2022 – 14th December 2022,,177.45,,146.63
15th November 2022 – 14th December 2022,,177.5,,146.66
15th November 2022 – 14th December 2022,,177.93,,147.1
15th November 2022 – 14th December 2022,,177.57,,146.75
15th November 2022 – 14th December 2022,,178.06,,147.22
15th November 2022 – 14th December 2022,,177.54,,146.71
15th November 2022 – 14th December 2022,,179.31,,148.48
15th November 2022 – 14th December 2022,,179.54,,148.71
15th November 2022 – 14th December 2022,,179.85,,149.02
15th November 2022 – 14th December 2022,,178.62,,147.8
15th November 2022 – 14th December 2022,,178.59,,147.75
15th November 2022 – 14th December 2022,,178.53,,147.7
15th November 2022 – 14th December 2022,,178.46,,147.62
15th November 2022 – 14th December 2022,,178.36,,147.54
15th November 2022 – 14th December 2022,,178.35,,147.53
15th November 2022 – 14th December 2022,,178.4,,147.57
15th November 2022 – 14th December 2022,,178.22,,147.4
15th November 2022 – 14th December 2022,,178.53,,147.7
15th November 2022 – 14th December 2022,,178.79,,147.96
15th November 2022 – 14th December 2022,,178.72,,147.88
15th November 2022 – 14th December 2022,,178.44,,147.61
15th November 2022 – 14th December 2022,,178.14,,147.31
15th November 2022 – 14th December 2022,,178.5,,147.68
15th November 2022 – 14th December 2022,,177.86,,147.03
15th November 2022 – 14th December 2022,,178.26,,147.43
15th August 2022 –14th September 2022,,156.86,,
15th August 2022 –14th September 2022,,157.57,,
15th August 2022 –14th September 2022,,157.22,,
15th August 2022 –14th September 2022,,157.22,,
15th August 2022 –14th September 2022,,157.78,,
15th August 2022 –14th September 2022,,157.93,,
15th August 2022 –14th September 2022,,158.34,,
15th August 2022 –14th September 2022,,159.75,,
15th August 2022 –14th September 2022,,160.16,,
15th August 2022 –14th September 2022,,160.45,,
15th August 2022 –14th September 2022,,160.16,,
15th August 2022 –14th September 2022,,159.13,,
15th August 2022 –14th September 2022,,159.22,,
15th August 2022 –14th September 2022,,157.16,,
15th August 2022 –14th September 2022,,157.34,,
15th August 2022 –14th September 2022,,158.68,,
15th August 2022 –14th September 2022,,158.84,,
15th August 2022 –14th September 2022,,157.01,,
15th August 2022 –14th September 2022,,158.44,,
15th August 2022 –14th September 2022,,159.12,,
15th August 2022 –14th September 2022,,159.12,,
15th August 2022 –14th September 2022,,159.36,,
15th August 2022 –14th September 2022,,159.54,,
15th August 2022 –14th September 2022,,159.41,,
15th August 2022 –14th September 2022,,159.64,,
15th August 2022 –14th September 2022,,159.85,,
15th August 2022 –14th September 2022,,160.22,,
15th August 2022 –14th September 2022,,160.14,,
15th August 2022 –14th September 2022,,160.5,,
15th August 2022 –14th September 2022,,160.49,,
15th August 2022 –14th September 2022,,160.66,,
15th August 2022 –14th September 2022,,160.46,,
15th August 2022 –14th September 2022,,160.75,,
15th August 2022 –14th September 2022,,160.65,,
15th August 2022 –14th September 2022,,161.03,,
15th August 2022 –14th September 2022,,161.05,,
15th August 2022 –14th September 2022,,162.01,,
15th August 2022 –14th September 2022,,161.55,,
15th August 2022 –14th September 2022,,162.21,,
15th August 2022 –14th September 2022,,162.07,,
15th August 2022 –14th September 2022,,162.66,,
15th August 2022 –14th September 2022,,163.29,,
15th August 2022 –14th September 2022,,166.97,,
15th August 2022 –14th September 2022,,166.05,,
15th August 2022 –14th September 2022,,168.55,,
15th August 2022 –14th September 2022,,167.61,,
15th August 2022 –14th September 2022,,165.98,,
15th August 2022 –14th September 2022,,164.67,,
15th August 2022 –14th September 2022,,168.22,,
15th August 2022 –14th September 2022,,169.83,,
15th August 2022 –14th September 2022,,168.38,,
15th August 2022 –14th September 2022,,166.12,,
15th August 2022 –14th September 2022,,172.15,,
15th August 2022 –14th September 2022,,160.02,,
15th August 2022 –14th September 2022,,164.46,,
15th August 2022 –14th September 2022,,161.47,,
15th August 2022 –14th September 2022,,170.16,,
15th August 2022 –14th September 2022,,167.19,,
15th August 2022 –14th September 2022,,165.78,,
15th August 2022 –14th September 2022,,159.24,,
15th August 2022 –14th September 2022,,161.81,,
15th August 2022 –14th September 2022,,160.93,,
15th August 2022 –14th September 2022,,161.8,,
15th August 2022 –14th September 2022,,161.42,,
15th August 2022 –14th September 2022,,160.76,,
15th August 2022 –14th September 2022,,167.93,,
15th August 2022 –14th September 2022,,166.55,,
15th August 2022 –14th September 2022,,167.09,,
15th August 2022 –14th September 2022,,167.15,,
15th August 2022 –14th September 2022,,166.96,,
15th August 2022 –14th September 2022,,164.16,,
15th August 2022 –14th September 2022,,163.87,,
15th August 2022 –14th September 2022,,165.11,,
15th August 2022 –14th September 2022,,158.64,,
15th August 2022 –14th September 2022,,158.61,,
15th August 2022 –14th September 2022,,158.6,,
15th August 2022 –14th September 2022,,158.69,,
15th August 2022 –14th September 2022,,159.39,,
15th August 2022 –14th September 2022,,158.9,,
15th August 2022 –14th September 2022,,158.89,,
15th August 2022 –14th September 2022,,161.88,,
15th August 2022 –14th September 2022,,162.98,,
15th August 2022 –14th September 2022,,158.97,,
15th August 2022 –14th September 2022,,159.38,,
15th August 2022 –14th September 2022,,159.86,,
15th August 2022 –14th September 2022,,160.95,,
15th August 2022 –14th September 2022,,161.79,,
15th August 2022 –14th September 2022,,159.43,,
15th August 2022 –14th September 2022,,159.53,,
15th August 2022 –14th September 2022,,159.53,,
15th August 2022 –14th September 2022,,159.53,,
15th August 2022 –14th September 2022,,159.53,,
15th August 2022 –14th September 2022,,159.53,,
15th August 2022 –14th September 2022,,159.54,,
15th August 2022 –14th September 2022,,159.95,,
15th August 2022 –14th September 2022,,159.89,,
15th August 2022 –14th September 2022,,160.52,,
15th August 2022 –14th September 2022,,160.3,,
15th August 2022 –14th September 2022,,159.54,,
15th August 2022 –14th September 2022,,159.52,,
15th August 2022 –14th September 2022,,159.48,,
15th August 2022 –14th September 2022,,159.57,,
15th August 2022 –14th September 2022,,160.04,,
15th August 2022 –14th September 2022,,159.92,,
15th August 2022 –14th September 2022,,159.84,,
15th August 2022 –14th September 2022,,159.77,,
15th August 2022 –14th September 2022,,159.72,,
15th August 2022 –14th September 2022,,159.58,,
15th August 2022 –14th September 2022,,160.07,,
15th August 2022 –14th September 2022,,160.43,,
15th August 2022 –14th September 2022,,160.1,,
15th August 2022 –14th September 2022,,160.73,,
15th August 2022 –14th September 2022,,162.35,,
15th August 2022 –14th September 2022,,161.15,,
15th August 2022 –14th September 2022,,161.28,,
15th August 2022 –14th September 2022,,163.71,,
15th August 2022 –14th September 2022,,165.3,,
15th August 2022 –14th September 2022,,162.71,,
15th August 2022 –14th September 2022,,164.47,,
15th August 2022 –14th September 2022,,163.07,,
15th August 2022 –14th September 2022,,167.35,,
15th August 2022 –14th September 2022,,162.35,,
15th August 2022 –14th September 2022,,160.7,,
15th August 2022 –14th September 2022,,166.48,,
15th August 2022 –14th September 2022,,159.72,,
15th August 2022 –14th September 2022,,159.53,,
15th August 2022 –14th September 2022,,159.59,,
15th August 2022 –14th September 2022,,159.48,,
15th August 2022 –14th September 2022,,167.59,,
15th August 2022 –14th September 2022,,166.41,,
15th August 2022 –14th September 2022,,162.82,,
15th August 2022 –14th September 2022,,164.39,,
15th August 2022 –14th September 2022,,161.6,,
15th August 2022 –14th September 2022,,160.92,,
15th August 2022 –14th September 2022,,161.54,,
15th August 2022 –14th September 2022,,161.12,,
15th August 2022 –14th September 2022,,159.92,,
15th August 2022 –14th September 2022,,160.63,,
15th August 2022 –14th September 2022,,159.94,,
15th August 2022 –14th September 2022,,160.36,,
15th August 2022 –14th September 2022,,160.5,,
15th August 2022 –14th September 2022,,160.62,,
15th August 2022 –14th September 2022,,161.52,,
15th August 2022 –14th September 2022,,161.39,,
15th August 2022 –14th September 2022,,160.36,,
15th August 2022 –14th September 2022,,160.43,,
15th August 2022 –14th September 2022,,159.59,,
15th August 2022 –14th September 2022,,159.99,,
15th August 2022 –14th September 2022,,160.07,,
15th August 2022 –14th September 2022,,159.53,,
15th August 2022 –14th September 2022,,159.95,,
15th August 2022 –14th September 2022,,160.5,,
15th August 2022 –14th September 2022,,160.13,,
15th August 2022 –14th September 2022,,160.82,,
15th August 2022 –14th September 2022,,160.47,,
15th August 2022 –14th September 2022,,160.68,,
15th August 2022 –14th September 2022,,159.72,,
15th August 2022 –14th September 2022,,162.67,,
15th August 2022 –14th September 2022,,162.07,,
15th August 2022 –14th September 2022,,161.04,,
15th August 2022 –14th September 2022,,161.54,,
15th August 2022 –14th September 2022,,161.19,,
15th August 2022 –14th September 2022,,160.78,,
15th August 2022 –14th September 2022,,160.82,,
15th August 2022 –14th September 2022,,160.77,,
15th August 2022 –14th September 2022,,160.68,,
15th August 2022 –14th September 2022,,160.57,,
15th August 2022 –14th September 2022,,160.51,,
15th August 2022 –14th September 2022,,160.24,,
15th August 2022 –14th September 2022,,159.53,,
15th August 2022 –14th September 2022,,159.64,,
15th August 2022 –14th September 2022,,160.11,,
15th August 2022 –14th September 2022,,159.58,,
15th August 2022 –14th September 2022,,159.86,,
15th August 2022 –14th September 2022,,159.75,,
15th August 2022 –14th September 2022,,159.86,,
15th August 2022 –14th September 2022,,160.05,,
15th August 2022 –14th September 2022,,160.1,,
15th August 2022 –14th September 2022,,160.41,,
15th August 2022 –14th September 2022,,160.24,,
15th August 2022 –14th September 2022,,160.43,,
15th August 2022 –14th September 2022,,160.4,,
15th August 2022 –14th September 2022,,160.35,,
15th August 2022 –14th September 2022,,161.2,,
15th August 2022 –14th September 2022,,161.48,,
15th August 2022 –14th September 2022,,160.64,,
15th August 2022 –14th September 2022,,159.77,,
15th August 2022 –14th September 2022,,160.34,,
15th August 2022 –14th September 2022,,159.53,,
15th August 2022 –14th September 2022,,160.99,,
15th August 2022 –14th September 2022,,161.08,,
15th August 2022 –14th September 2022,,160.92,,
15th August 2022 –14th September 2022,,159.9,,
15th August 2022 –14th September 2022,,160.29,,
15th August 2022 –14th September 2022,,160.41,,
15th August 2022 –14th September 2022,,160.68,,
15th August 2022 –14th September 2022,,160.4,,
15th August 2022 –14th September 2022,,160.41,,
15th August 2022 –14th September 2022,,159.5,,
15th August 2022 –14th September 2022,,159.53,,
15th August 2022 –14th September 2022,,159.96,,
15th August 2022 –14th September 2022,,159.62,,
15th August 2022 –14th September 2022,,160.09,,
15th August 2022 –14th September 2022,,159.57,,
15th August 2022 –14th September 2022,,161.34,,
15th August 2022 –14th September 2022,,161.58,,
15th August 2022 –14th September 2022,,161.88,,
15th August 2022 –14th September 2022,,160.66,,
15th August 2022 –14th September 2022,,160.62,,
15th August 2022 –14th September 2022,,160.57,,
15th August 2022 –14th September 2022,,160.49,,
15th August 2022 –14th September 2022,,160.4,,
15th August 2022 –14th September 2022,,160.39,,
15th August 2022 –14th September 2022,,160.44,,
15th August 2022 –14th September 2022,,160.26,,
15th August 2022 –14th September 2022,,160.57,,
15th August 2022 –14th September 2022,,160.83,,
15th August 2022 –14th September 2022,,160.75,,
15th August 2022 –14th September 2022,,160.48,,
15th August 2022 –14th September 2022,,160.18,,
15th August 2022 –14th September 2022,,160.54,,
15th August 2022 –14th September 2022,,159.9,,
15th August 2022 –14th September 2022,,160.3,,
15th July 2022 –14th August 2022,,,,125.69
15th July 2022 –14th August 2022,,,,126.41
15th July 2022 –14th August 2022,,,,126.05
15th July 2022 –14th August 2022,,,,126.05
15th July 2022 –14th August 2022,,,,126.61
15th July 2022 –14th August 2022,,,,126.76
15th July 2022 –14th August 2022,,,,127.17
15th July 2022 –14th August 2022,,,,128.58
15th July 2022 –14th August 2022,,,,129.0
15th July 2022 –14th August 2022,,,,129.28
15th July 2022 –14th August 2022,,,,129.0
15th July 2022 –14th August 2022,,,,127.96
15th July 2022 –14th August 2022,,,,128.05
15th July 2022 –14th August 2022,,,,126.0
15th July 2022 –14th August 2022,,,,126.18
15th July 2022 –14th August 2022,,,,127.51
15th July 2022 –14th August 2022,,,,127.68
15th July 2022 –14th August 2022,,,,125.85
15th July 2022 –14th August 2022,,,,127.27
15th July 2022 –14th August 2022,,,,127.94
15th July 2022 –14th August 2022,,,,127.94
15th July 2022 –14th August 2022,,,,128.18
15th July 2022 –14th August 2022,,,,128.36
15th July 2022 –14th August 2022,,,,128.23
15th July 2022 –14th August 2022,,,,128.46
15th July 2022 –14th August 2022,,,,128.68
15th July 2022 –14th August 2022,,,,129.04
15th July 2022 –14th August 2022,,,,128.97
15th July 2022 –14th August 2022,,,,129.33
15th July 2022 –14th August 2022,,,,129.31
15th July 2022 –14th August 2022,,,,129.48
15th July 2022 –14th August 2022,,,,129.28
15th July 2022 –14th August 2022,,,,129.57
15th July 2022 –14th August 2022,,,,129.47
15th July 2022 –14th August 2022,,,,129.86
15th July 2022 –14th August 2022,,,,129.87
15th July 2022 –14th August 2022,,,,130.84
15th July 2022 –14th August 2022,,,,130.38
15th July 2022 –14th August 2022,,,,131.04
15th July 2022 –14th August 2022,,,,130.89
15th July 2022 –14th August 2022,,,,131.49
15th July 2022 –14th August 2022,,,,132.11
15th July 2022 –14th August 2022,,,,135.79
15th July 2022 –14th August 2022,,,,134.87
15th July 2022 –14th August 2022,,,,137.37
15th July 2022 –14th August 2022,,,,136.43
15th July 2022 –14th August 2022,,,,134.8
15th July 2022 –14th August 2022,,,,133.49
15th July 2022 –14th August 2022,,,,137.04
15th July 2022 –14th August 2022,,,,138.65
15th July 2022 –14th August 2022,,,,137.21
15th July 2022 –14th August 2022,,,,134.94
15th July 2022 –14th August 2022,,,,140.98
15th July 2022 –14th August 2022,,,,128.84
15th July 2022 –14th August 2022,,,,133.29
15th July 2022 –14th August 2022,,,,130.29
15th July 2022 –14th August 2022,,,,138.98
15th July 2022 –14th August 2022,,,,136.02
15th July 2022 –14th August 2022,,,,134.6
15th July 2022 –14th August 2022,,,,128.06
15th July 2022 –14th August 2022,,,,130.63
15th July 2022 –14th August 2022,,,,129.75
15th July 2022 –14th August 2022,,,,130.62
15th July 2022 –14th August 2022,,,,130.25
15th July 2022 –14th August 2022,,,,129.58
15th July 2022 –14th August 2022,,,,136.75
15th July 2022 –14th August 2022,,,,135.37
15th July 2022 –14th August 2022,,,,135.91
